appid,cc,currency,initial,final,discount_pct,is_free
1574580,us,USD,1599,1599,0,0
1605220,us,USD,3499,1399,60,0
1611600,us,USD,3999,3999,0,0
1611910,us,USD,4499,4499,0,0
1676840,us,USD,2499,2499,0,0
1715130,us,USD,2999,2999,0,0
2336220,us,USD,1599,1599,0,0
2513280,us,USD,4999,4999,0,0
2666510,us,USD,699,419,40,0
2772750,us,USD,999,999,0,0
12150,us,USD,999,249,75,0
34270,us,,0,0,0,1
49540,us,USD,2999,749,75,0
65930,us,USD,1999,1999,0,0
206210,us,,0,0,0,1
214340,us,USD,999,999,0,0
218680,us,USD,1999,1999,0,0
230230,us,,0,0,0,1
244930,us,,0,0,0,1
268650,us,USD,2499,2499,0,0
282900,us,USD,1499,1499,0,0
290080,us,USD,1999,1999,0,0
306020,us,USD,999,999,0,0
329430,us,USD,1999,1999,0,0
342200,us,,0,0,0,1
351640,us,,0,0,0,1
356570,us,USD,999,999,0,0
368360,us,USD,899,899,0,0
377840,us,USD,2099,2099,0,0
383180,us,USD,1999,199,90,0
384300,us,USD,1699,1699,0,0
388880,us,USD,999,999,0,0
389570,us,,0,0,0,1
395170,us,USD,499,69,86,0
400910,us,USD,1799,1799,0,0
407530,us,,0,0,0,1
418340,us,USD,1999,1999,0,0
423230,us,USD,1999,1999,0,0
449960,us,USD,2499,2499,0,0
456750,us,USD,599,599,0,0
464060,us,USD,1999,1999,0,0
495890,us,USD,99,99,0,0
496300,us,USD,1499,149,90,0
506610,us,USD,799,799,0,0
529180,us,USD,1799,1799,0,0
602520,us,USD,999,999,0,0
614570,us,USD,2999,2999,0,0
616560,us,USD,1499,1499,0,0
621830,us,USD,1999,1999,0,0
688420,us,USD,1499,299,80,0
690040,us,USD,2499,2499,0,0
707030,us,USD,1999,1999,0,0
714120,us,USD,1999,1999,0,0
764790,us,USD,1999,1999,0,0
773951,us,USD,2499,2499,0,0
835960,us,USD,2999,2999,0,0
867210,us,USD,2999,2999,0,0
874260,us,USD,2499,2499,0,0
885970,us,USD,2999,599,80,0
939850,us,USD,1999,1999,0,0
973580,us,USD,2999,299,90,0
1029550,us,,0,0,0,1
1049800,us,,0,0,0,1
1061090,us,USD,1299,1299,0,0
1105670,us,USD,2499,624,75,0
1115690,us,USD,1999,1999,0,0
1128920,us,USD,4999,4999,0,0
1147550,us,USD,2499,2499,0,0
1147690,us,,0,0,0,1
1182620,us,USD,999,999,0,0
1188930,us,USD,2499,2499,0,0
1201240,us,,0,0,0,1
1259980,us,USD,3999,3999,0,0
1301720,us,,0,0,0,1
1328660,us,USD,2999,2999,0,0
1361000,us,USD,999,399,60,0
1372110,us,USD,4999,999,80,0
1385380,us,USD,1999,1999,0,0
1424330,us,USD,1999,499,75,0
1466060,us,USD,4499,4499,0,0
1714320,us,USD,499,499,0,0
1812450,us,USD,2999,2999,0,0
1938010,us,USD,6999,6999,0,0
2075070,us,USD,599,599,0,0
2109460,us,,0,0,0,1
2113850,us,USD,1199,599,50,0
2194530,us,USD,1099,1099,0,0
2232840,us,,0,0,0,1
2909110,us,USD,699,699,0,0
3107330,us,USD,299,299,0,0
2100,us,USD,999,999,0,0
3480,us,USD,499,499,0,0
4570,us,USD,1499,1499,0,0
12900,us,USD,999,999,0,0
32430,us,USD,1999,1999,0,0
39120,us,,0,0,0,1
39500,us,USD,1999,1999,0,0
57900,us,USD,1999,1999,0,0
203290,us,,0,0,0,1
208200,us,USD,999,999,0,0
232770,us,,0,0,0,1
239200,us,USD,1999,1999,0,0
252150,us,,0,0,0,1
253430,us,USD,599,599,0,0
286940,us,,0,0,0,1
312670,us,USD,4999,4999,0,0
317360,us,,0,0,0,1
332570,us,USD,1999,1999,0,0
349700,us,,0,0,0,1
360170,us,USD,1499,1499,0,0
364470,us,,0,0,0,1
378540,us,USD,1499,1499,0,0
389430,us,,0,0,0,1
396750,us,USD,1999,1999,0,0
398710,us,USD,99,99,0,0
410340,us,USD,1999,1999,0,0
427100,us,USD,2999,2999,0,0
428550,us,USD,999,999,0,0
442080,us,,0,0,0,1
446800,us,USD,2999,2999,0,0
469820,us,USD,699,699,0,0
482400,us,USD,3999,3999,0,0
482730,us,,0,0,0,1
505230,us,USD,3499,3499,0,0
530700,us,,0,0,0,1
552620,us,USD,1499,1499,0,0
586140,us,USD,3999,3999,0,0
589360,us,USD,5999,5999,0,0
611670,us,USD,5999,5999,0,0
613830,us,USD,1499,1499,0,0
617670,us,USD,199,199,0,0
658850,us,USD,1599,1599,0,0
732430,us,USD,299,299,0,0
790740,us,USD,599,599,0,0
792220,us,,0,0,0,1
792300,us,USD,2499,249,90,0
799600,us,USD,1999,1999,0,0
803330,us,USD,2999,2999,0,0
814370,us,USD,1999,1999,0,0
861540,us,USD,1499,1499,0,0
914800,us,USD,1299,1299,0,0
1007040,us,USD,5999,5999,0,0
1012790,us,USD,2999,2999,0,0
1030210,us,USD,3999,599,85,0
1042550,us,USD,4999,499,90,0
