appid,currency,initial,final,discount_pct,is_free
238960,USD,0,0,0,1
244210,USD,1999,1999,0,0
262060,USD,2499,374,85,0
268910,USD,1999,1999,0,0
270880,USD,1999,499,75,0
281990,USD,4999,4999,0,0
294100,USD,3499,3499,0,0
304390,USD,2999,2999,0,0
306130,USD,1999,1999,0,0
311210,USD,5999,5999,0,0
319630,USD,0,0,0,1
379430,USD,2999,599,80,0
379720,USD,1999,1999,0,0
393380,USD,3999,3999,0,0
397540,USD,5999,5999,0,0
427520,USD,3500,3500,0,0
433340,USD,1999,1999,0,0
433850,USD,0,0,0,1
435150,USD,4499,4499,0,0
438100,USD,0,0,0,1
444200,USD,0,0,0,1
477160,USD,1999,1999,0,0
518790,USD,1999,1999,0,0
524220,USD,3999,3999,0,0
526870,USD,3999,3999,0,0
534380,USD,5999,5999,0,0
552520,USD,5999,5999,0,0
552990,USD,0,0,0,1
588650,USD,2499,2499,0,0
594650,USD,2999,2999,0,0
601150,USD,2999,449,85,0
646570,USD,2499,2499,0,0
671860,USD,1499,1499,0,0
686810,USD,4999,4999,0,0
698780,USD,0,0,0,1
700330,USD,0,0,0,1
782330,USD,2999,2999,0,0
812140,USD,5999,5999,0,0
813780,USD,3499,3499,0,0
883710,USD,3999,3999,0,0
901583,USD,0,0,0,1
976730,USD,3999,3999,0,0
1144200,USD,4999,4999,0,0
1172380,USD,3999,3999,0,0
1222140,USD,3999,3999,0,0
1222670,USD,0,0,0,1
1229490,USD,2999,2999,0,0
1238840,USD,3999,3999,0,0
1240440,USD,0,0,0,1
1332010,USD,2999,1499,50,0
1426210,USD,3999,3999,0,0
1468810,USD,1999,1999,0,0
1551360,USD,5999,5999,0,0
1593500,USD,4999,4999,0,0
1599340,USD,0,0,0,1
1716740,USD,4999,4999,0,0
1782210,USD,0,0,0,1
1811260,USD,0,0,0,1
2050650,USD,3999,3999,0,0
2183900,USD,5999,5999,0,0
2246340,USD,6999,6999,0,0
2379780,USD,1499,1499,0,0
2694490,USD,2999,2999,0,0
2881650,USD,799,799,0,0
3164500,USD,1999,1999,0,0
3241660,USD,999,999,0,0
204360,USD,1499,1499,0,0
219150,USD,999,999,0,0
219740,USD,999,999,0,0
219990,USD,2499,499,80,0
220200,USD,3999,3999,0,0
220240,USD,1999,1999,0,0
221380,USD,1999,1999,0,0
222880,USD,1499,1499,0,0
223470,USD,999,999,0,0
225540,USD,1999,1999,0,0
231430,USD,1999,1999,0,0
232090,USD,2999,2999,0,0
236850,USD,4999,4999,0,0
